#flows,time,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
300,0.0,0.0001,1,s4-s5,1.31152113423e-08,0.084250966004,1,1
300,0.0,0.0001,1,s3-s6,3.72204765589e-07,0.134471812471,1,1
300,0.0,0.0001,1,s5-s6,6.0921098241e-15,0.011132097347,1,1
300,0.0,0.0001,1,s3-s4,1.74987445205e-08,0.10065278876,1,1
300,0.0,0.0001,0,s4-s5,0.0127981066463,0.161408305195,-1,0
300,0.0,0.0001,0,s3-s6,0.0289954139986,0.112435849399,-1,0
300,0.0,0.0001,0,s5-s6,0.378817863198,0.0257005161987,-1,0
300,0.0,0.0001,0,s3-s4,0.484031788884,0.0883036613266,-1,0
300,0.0,0.0001,-1,s4-s5,0.343253125978,0.164305317905,-1,-1
300,0.0,0.0001,-1,s3-s6,0.239080406805,0.709523959962,-1,-1
300,0.0,0.0001,-1,s5-s6,0.482861787229,0.485679293548,-1,-1
300,0.0,0.0001,-1,s3-s4,0.061376944374,0.18018806301,-1,-1
300,0.0,0.0005,1,s4-s5,1.40384443881e-06,0.0349232437043,1,1
300,0.0,0.0005,1,s3-s6,7.18916252912e-05,0.163358418769,1,1
300,0.0,0.0005,1,s5-s6,4.00690150552e-07,0.06271916615,1,1
300,0.0,0.0005,1,s3-s4,5.31202623757e-06,0.0335571027254,1,1
300,0.0,0.0005,0,s4-s5,0.267690735948,0.0951360649173,-1,0
300,0.0,0.0005,0,s3-s6,0.465752043564,0.127278776264,-1,0
300,0.0,0.0005,0,s5-s6,0.157970125,0.0929125730685,-1,0
300,0.0,0.0005,0,s3-s4,0.704613867168,0.0387975411579,-1,0
300,0.0,0.0005,-1,s4-s5,0.0158000648685,0.29957884672,-1,-1
300,0.0,0.0005,-1,s3-s6,0.178320655764,0.12372944756,-1,-1
300,0.0,0.0005,-1,s5-s6,0.180880654657,0.637509153908,-1,-1
300,0.0,0.0005,-1,s3-s4,0.0987221964892,0.287455151424,-1,-1
300,0.0,0.001,1,s4-s5,1.66606573726e-07,0.132208915498,1,1
300,0.0,0.001,1,s3-s6,1.35903729236e-08,0.064096660972,1,1
300,0.0,0.001,1,s5-s6,6.01038270988e-07,0.0615480376778,1,1
300,0.0,0.001,1,s3-s4,4.25224982263e-08,0.175463615339,1,1
300,0.0,0.001,0,s4-s5,0.0289954139986,0.0653868682016,-1,0
300,0.0,0.001,0,s3-s6,0.382499998184,0.17840085367,-1,0
300,0.0,0.001,0,s5-s6,0.270206068506,0.109465387698,-1,0
300,0.0,0.001,0,s3-s4,0.365317191297,0.135639256037,-1,0
