#flows,epsilon,is_correlated,#correlated_detect
20,0.01,1,2
40,0.01,1,3
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,1
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,2
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,2
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,3
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,3
60,0.01,1,3
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,3
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,2
60,0.01,1,3
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,2
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
20,0.01,1,2
40,0.01,1,3
60,0.01,1,4
80,0.01,1,4
100,0.01,1,4
