#flows,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
1500,1,1,0,4
2000,1,3,0,4
2500,1,2,1,4
3000,1,2,0,4
3500,1,3,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,0,0,4
2000,1,1,0,4
2500,1,3,0,4
3000,1,3,0,4
3500,1,4,0,4
4000,1,3,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,0,0,4
2000,1,4,0,4
2500,1,3,0,4
3000,1,4,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,2,0,4
2000,1,3,0,4
2500,1,0,1,4
3000,1,3,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,1,0,4
2000,1,3,0,4
2500,1,3,0,4
3000,1,1,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,3,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,0,0,4
2000,1,2,0,4
2500,1,4,0,4
3000,1,4,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,2,0,4
2000,1,4,0,4
2500,1,3,0,4
3000,1,2,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,1,0,4
2000,1,1,0,4
2500,1,4,0,4
3000,1,2,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,2,1,4
2000,1,2,1,4
2500,1,2,0,4
3000,1,3,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
1500,1,0,0,4
2000,1,1,0,4
2500,1,3,0,4
3000,1,3,0,4
3500,1,4,0,4
4000,1,4,0,4
4500,1,4,0,4
5000,1,4,0,4
1500,0,0,0,4
2000,0,0,0,4
2500,0,0,0,4
3000,0,0,0,4
3500,0,0,0,4
4000,0,0,0,4
4500,0,0,0,4
5000,0,0,0,4
